	Day2_BFP_Rep1	Day2_BFP_Rep2	Day2_BFP_Rep3	Day2_Hic2_Rep1	Day2_Hic2_Rep2	Day2_Hic2_Rep3	Day4_BFP_Rep1	Day4_BFP_Rep1-2	Day4_BFP_Rep2	Day4_BFP_Rep3	Day4_Hic2_Rep1	Day4_Hic2_Rep1-2	Day4_Hic2_Rep2	Day4_Hic2_Rep3	Day6_BFP_Rep1	Day6_BFP_Rep2	Day6_BFP_Rep3	Day6_Hic2_Rep1	Day6_Hic2_Rep2	Day6_Hic2_Rep3	Day10_BFP_Rep1	Day10_BFP_Rep2	Day10_BFP_Rep3	Day10_Hic2_Rep1	Day10_Hic2_Rep2	Day10_Hic2_Rep3	ESC_BFP_Rep1	ESC_BFP_Rep2	ESC_BFP_Rep3	ESC_Hic2-gRNA_Rep1	ESC_Hic2-gRNA_Rep2	ESC_Hic2-gRNA_Rep3	ESC_Zeo-gRNA_Rep1	ESC_Zeo-gRNA_Rep2	ESC_Zeo-gRNA_Rep3	iPSC_BFP_Rep1	iPSC_BFP_Rep2	iPSC_BFP_Rep3	iPSC_Hic2_Rep1	iPSC_Hic2_Rep2	iPSC_Hic2_Rep3	MEF_BFP_Rep1	MEF_BFP_Rep2	MEF_BFP_Rep3	MEF_Hic2_Rep1	MEF_Hic2_Rep2	MEF_Hic2_Rep3
Nme2	9131.87204	8772.04648	8942.209732	8530.979756	8369.045473	8553.550518	7359.582203	7404.271099	7156.600677	8006.566115	7131.040343	6949.582881	6736.133683	7144.293792	14504.03258	16488.56799	12941.63614	12534.11247	11867.77438	12191.30901	13143.66605	13476.83343	14105.75499	10383.21332	9268.448249	9766.582473	9368.917828	9108.791528	10826.8555	7584.159048	8457.392845	7752.368883	11474.46574	12509.07818	11196.81395	10192.34882	9988.372889	11094.54304	7780.669872	10977.5364	10109.17492	10972.64663	9091.789867	9185.452104	8761.345555	8064.13816	7793.196978
Spag9	3070.745412	3084.392166	2769.455353	2639.654259	2334.681996	2337.525319	4262.379448	4221.670317	3134.123379	3817.328451	2411.598938	2552.954644	2632.351541	2446.472603	1920.06945	2162.55357	2408.324595	1454.540692	1820.352452	1852.265202	2320.583787	2015.567853	2353.565111	1731.220113	2476.458951	2132.314222	1522.519795	1564.570026	1287.035266	1592.7257	1625.383558	1401.314173	1495.346304	1458.969225	1522.659612	1446.808707	1469.927476	1423.765424	1011.783013	1263.361893	1507.580105	6797.881197	7572.592743	7051.875612	6199.905164	5110.580125	5436.708704
Luc7l3	4646.505973	4210.13481	4562.991111	5198.552537	4889.122485	4824.527612	2937.23946	3353.027104	3687.653813	3749.116401	4147.838626	4009.110295	3809.334545	4242.735699	1678.971424	1808.735966	1983.414558	1040.481488	1638.119154	1908.895969	2520.960012	2315.465873	2240.013114	1895.789755	1748.398539	3440.159949	4261.56149	4916.678566	4495.295324	4281.643701	3937.422947	3906.293343	4406.09754	4158.482386	4072.164182	5415.912125	5652.649575	4252.813406	3704.566882	4450.809649	5559.367529	3686.745222	3507.487488	2847.863671	3542.702276	3402.529319	3446.685067
Ankrd40	1362.374489	1515.021834	1466.68198	1591.375832	1428.67842	1467.67331	1216.608851	1149.488555	1237.283863	1131.194931	1325.459619	1423.333026	1281.40898	1286.490631	1311.28931	1349.064482	1167.275698	2340.015547	1988.509615	1501.551255	1663.512222	1311.681301	1407.081447	1506.349589	1668.215925	1487.249015	1829.933223	1566.517651	1483.838902	2359.204208	2564.326767	2394.542978	1555.424255	1551.120422	1418.628301	1593.936063	1385.433031	1554.064705	2103.139608	1374.09243	1298.733629	2919.038419	2814.884831	2830.833884	3183.479316	3054.838439	2713.062436
Abcc3	85.05210691	23.71272835	71.19533992	12.60713172	15.06275151	10.17760397	37.53825408	12.82663989	14.26075574	20.42980315	21.39112407	3.873801194	15.94823352	22.21518097	12.44000473	0.888316218	45.80725987	0	15.66192852	1.973707009	10.62786365	46.7242885	12.61876587	16.01560113	11.72246633	21.50917152	21.28028234	14.69495663	19.13542604	51.14850809	37.04150069	10.24580151	4.219989476	3.083288635	16.65763328	4.192659732	12.6130691	33.21487774	64.25537235	13.46980418	11.4240655	127.7260209	299.3187499	296.1409544	127.5723664	164.1274064	137.7656737
Cacna1g	228.9967338	235.8087037	91.22089483	63.31719249	114.1517719	215.5251596	145.4644441	227.422916	178.805196	215.2090054	50.16158379	222.4335593	253.8806304	163.9323894	15.52005707	34.04864868	62.86731576	18.22982991	36.53047044	182.4191477	38.21491104	61.62323204	20.31216531	150.901184	35.55532802	24.15077545	8.791096591	125.8710539	28.36944054	133.0638709	81.01546679	34.96654069	2.289362859	2.950530922	25.27670098	20.47082718	55.1377386	16.59779911	94.08038734	51.54391282	40.09990936	1205.290032	2188.5574	1624.392472	667.1222387	1896.12143	2021.203393
Spata20	1.815465845	0.446282462	0	3.251773632	0.960487369	0	4.041079719	4.600687925	1.310276539	14.82591159	0.569411232	7.194056424	0	0.860850848	8.513030239	0	2.277686711	0	0	1.699040762	4.068721061	0.607282648	1.997738905	2.288183617	3.261781705	11.71713979	0.895054604	0	0.781056456	2.254641249	6.330584354	1.471851649	13.21991366	0	0	4.003940874	2.895413679	14.55400255	6.669838891	4.837482327	0	0	3.623939682	2.568610515	0.718841955	16.06450793	4.093854274
Xylt2	399.6461318	212.3283769	164.7406641	204.1009252	299.2659855	171.9668849	194.7384102	143.3319676	233.2887375	129.7188146	173.35	123.236132	234.7975682	148.2138525	50.3097561	31.10681475	144.9059633	302.4078531	147.349351	149.6079845	77.14458309	183.4586357	217.0216721	264.50977	261.8560366	302.5745536	890.1843547	1379.454018	1322.257623	780.8717435	869.9896689	931.534224	1029.32248	1005.89467	1089.474065	1759.712981	1616.452551	1257.356765	960.8320331	995.1189729	1388.652963	840.0843016	742.1542866	831.3172334	455.9471405	833.5016668	618.8556377
Lrrc59	23511.47556	24233.91672	24554.73214	24267.34421	22483.14889	22432.01047	19686.53503	19874.6501	21187.50012	19335.37265	20377.86218	21014.39484	18972.90618	19608.78492	20869.21153	21733.02666	19553.69723	20395.3967	17019.38826	19163.78477	14229.46927	11308.02866	12631.11653	8293.86322	8454.623273	8133.083943	6468.200008	6298.352537	5396.354401	7231.276971	7482.235232	7097.396131	7319.450404	7267.25974	7198.642676	4842.048604	4985.94722	6955.998115	8006.150289	5135.152942	4788.616224	13206.17579	11977.01303	11571.83103	14334.00566	12517.15648	11868.43044
Cdc34b	0	1.351339128	1.063822626	1.217105354	0.727086696	1.040353695	1.529543958	1.393084009	0.991876282	2.227903417	0	0	0.847139321	0.651662083	1.841241149	1.543661165	0	0.707798749	1.739582355	0.857446594	0	0.919423094	0	2.49820729	0.617290284	1.096401164	1.355108492	0	0	2.275677552	1.198059395	1.114188263	1.222206264	1.339487232	2.756819838	0	0	1.299581007	6.311315593	1.464785133	1.534220099	1.011788779	1.097325553	0	0	0.785040427	0.774759533
Dlx4	7.48714736	2.321761057	2.296283549	3.65948012	1.249221267	0	0.656984528	0	1.704161212	3.0110973	1.120241998	1.749496173	1.100819528	2.526257217	3.163470893	0	0.74059659	0	0	0	0	0	0	0	0	0	4.492256891	2.445704975	4.089106927	17.63825467	17.86758083	7.681444598	0	4.631913718	0	3.755332798	5.924650587	0	9.75923054	1.258337381	8.61691182	8.691866222	0.942667789	2.09853841	4.242682107	1.020124803	3.020295727
Tac4	0	0	0	0	0	0	0	1.393084009	0	0	0	0	0	0	0	0	0	0	1.739582355	0	0	0	0	0	0	0	0	0	0	1.137838776	2.396118791	3.342564789	0	1.339487232	0	0	0	1.299581007	1.262263119	0	0	0	0	0	0	0	0
Slc35b1	1219.795858	1108.979744	1163.766732	1201.471673	1195.049028	1052.677267	1219.588118	1259.156532	1102.737724	1183.209079	936.7644295	1029.883417	961.7668272	1036.56784	1876.988527	1508.181603	1549.914011	1138.168462	1306.777849	1528.247272	1332.476572	1400.895942	1254.175772	1339.46122	1357.094223	1521.048965	858.9100767	1043.670206	855.3913067	1056.001925	933.7231584	1040.92386	1061.896833	959.1658472	977.7414025	1018.634135	893.6396835	977.3395579	889.0329146	1009.103679	1139.118647	1639.406564	1518.03102	1498.304256	1814.506753	1367.742611	1565.148638
Hoxb9	211.1703406	214.1033693	178.7954671	236.2568803	161.5177006	186.7956165	207.1515557	204.0654751	136.5468975	198.1813492	123.2289627	111.7191014	90.0769828	114.6698325	144.2859161	112.9267923	186.5487193	18.97504503	33.495855	26.5233277	131.5076293	71.46204881	123.4615468	38.08868404	25.43755481	22.609927	43.31471265	50.11844871	44.60828274	17.72840876	40.10115517	24.12556821	47.20112019	25.17998627	27.00422186	39.53611748	54.2395504	49.57979838	49.45761464	35.42956143	34.80246661	1068.135643	1283.37308	1207.701349	1065.590213	1187.424743	1159.4239
